person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,cred_hist_to_age_ratio,debt_burden_index,person_home_ownership,loan_intent,cb_person_default_on_file,loan_status
32,36400,2.8,6800,10.96,0.1868,11,0.7857,0.0205,RENT,PERSONAL,N,1
46,21100,3.6,13700,18.94,0.6493,15,0.5357,0.123,RENT,PERSONAL,N,1
39,97800,2.5,32700,15.61,0.3344,7,0.3333,0.0522,RENT,HOMEIMPROVEMENT,N,0
56,53800,,10500,8.8,0.1952,10,0.2632,0.0172,OWN,VENTURE,N,0
41,43000,1.1,9100,12.1,0.2116,2,0.087,0.0256,RENT,DEBTCONSOLIDATION,N,0
33,25300,4.6,9000,13.56,0.3557,6,0.4,0.0482,MORTGAGE,MEDICAL,N,0
49,20000,4.3,18100,18.39,0.905,5,0.1613,0.1664,MORTGAGE,DEBTCONSOLIDATION,N,1
57,100900,,17300,10.32,0.1715,5,0.1282,0.0177,RENT,MEDICAL,N,0
31,65000,2.0,3900,7.89,0.06,7,0.5385,0.0047,OTHER,PERSONAL,N,0
58,45600,0.2,23300,19.4,0.511,6,0.15,0.0991,RENT,EDUCATION,N,0
36,67100,4.5,22700,15.05,0.3383,2,0.1111,0.0509,RENT,DEBTCONSOLIDATION,Y,1
43,95200,1.4,12600,8.59,0.1324,5,0.2,0.0114,MORTGAGE,PERSONAL,N,0
31,96700,1.1,13200,13.3,0.1365,7,0.5385,0.0182,RENT,EDUCATION,N,1
39,155100,3.6,9700,9.22,0.0625,9,0.4286,0.0058,MORTGAGE,MEDICAL,N,0
54,68100,7.5,5100,5.42,0.0749,4,0.1111,0.0041,RENT,PERSONAL,N,0
67,62300,0.4,10400,12.05,0.1669,2,0.0408,0.0201,OWN,MEDICAL,N,0
34,18700,14.2,8000,14.59,0.4278,5,0.3125,0.0624,OWN,EDUCATION,N,0
43,33300,4.3,27400,,0.8228,8,0.32,0.1042,RENT,VENTURE,Y,1
40,34200,5.5,29600,17.87,0.8655,3,0.1364,0.1547,MORTGAGE,PERSONAL,N,1
46,87500,2.3,17900,9.77,0.2046,8,0.2857,0.02,MORTGAGE,MEDICAL,N,0
38,50100,5.7,11400,12.26,0.2275,13,0.65,0.0279,RENT,PERSONAL,N,0
34,56800,15.7,7200,11.15,0.1268,3,0.1875,0.0141,MORTGAGE,EDUCATION,N,0
45,17700,0.4,13900,19.53,0.7853,7,0.2593,0.1534,RENT,VENTURE,Y,1
49,75500,9.1,6900,11.55,0.0914,13,0.4194,0.0106,RENT,DEBTCONSOLIDATION,N,0
62,36700,1.5,8400,14.61,0.2289,6,0.1364,0.0334,RENT,DEBTCONSOLIDATION,N,0
50,22400,1.6,21200,22.72,0.9464,6,0.1875,0.215,OWN,DEBTCONSOLIDATION,Y,1
44,65400,17.4,17500,11.49,0.2676,3,0.1154,0.0307,RENT,MEDICAL,N,0
42,113000,0.1,6500,7.63,0.0575,10,0.4167,0.0044,RENT,MEDICAL,N,0
49,26000,3.7,19200,16.62,0.7385,6,0.1935,0.1227,OWN,EDUCATION,N,1
52,64900,,24000,17.3,0.3698,14,0.4118,0.064,RENT,VENTURE,Y,0
37,12000,,7600,19.79,0.6333,2,0.1053,0.1253,MORTGAGE,PERSONAL,N,1
39,43700,3.3,23900,20.81,0.5469,4,0.1905,0.1138,RENT,DEBTCONSOLIDATION,N,1
45,24000,,17800,18.29,0.7417,2,0.0741,0.1357,MORTGAGE,DEBTCONSOLIDATION,Y,1
40,24300,8.2,8900,,0.3663,11,0.5,0.0464,MORTGAGE,EDUCATION,Y,0
43,18600,6.9,16800,20.93,0.9032,9,0.36,0.189,MORTGAGE,VENTURE,N,1
38,25700,2.5,13000,18.77,0.5058,6,0.3,0.0949,RENT,MEDICAL,Y,0
34,30200,14.9,10800,16.55,0.3576,2,0.125,0.0592,MORTGAGE,VENTURE,Y,0
42,74500,0.1,2000,8.92,0.0268,4,0.1667,0.0024,RENT,PERSONAL,N,0
48,19200,11.3,14300,21.17,0.7448,5,0.1667,0.1577,RENT,DEBTCONSOLIDATION,Y,1
56,28700,2.7,17300,18.25,0.6028,6,0.1579,0.11,MORTGAGE,VENTURE,N,1
36,37000,1.9,16800,17.15,0.4541,8,0.4444,0.0779,MORTGAGE,MEDICAL,N,0
36,74300,0.6,8700,11.11,0.1171,11,0.6111,0.013,RENT,EDUCATION,N,0
43,35000,13.9,12800,16.31,0.3657,7,0.28,0.0596,MORTGAGE,EDUCATION,Y,1
44,41800,1.4,11000,14.3,0.2632,9,0.3462,0.0376,RENT,EDUCATION,N,1
39,68600,5.2,10800,,0.1574,8,0.381,0.0199,RENT,EDUCATION,N,0
29,68300,4.2,21000,10.75,0.3075,11,1.0,0.0331,MORTGAGE,EDUCATION,N,0
63,35400,8.8,16100,16.22,0.4548,3,0.0667,0.0738,MORTGAGE,EDUCATION,N,0
48,33500,0.4,14900,14.28,0.4448,5,0.1667,0.0635,MORTGAGE,HOMEIMPROVEMENT,N,0
55,28900,3.4,10000,15.22,0.346,6,0.1622,0.0527,RENT,VENTURE,N,0
40,36900,16.1,8800,11.72,0.2385,4,0.1818,0.028,MORTGAGE,MEDICAL,N,0
53,58500,3.4,22300,14.64,0.3812,2,0.0571,0.0558,MORTGAGE,EDUCATION,N,0
34,22400,1.4,18800,19.24,0.8393,9,0.5625,0.1615,RENT,EDUCATION,Y,1
29,64000,6.6,15200,12.82,0.2375,7,0.6364,0.0304,OWN,PERSONAL,N,0
52,82200,5.4,24800,11.53,0.3017,6,0.1765,0.0348,MORTGAGE,MEDICAL,N,1
42,153200,8.4,14900,,0.0973,4,0.1667,0.0123,RENT,VENTURE,N,0
70,108000,5.4,13400,8.23,0.1241,6,0.1154,0.0102,RENT,PERSONAL,N,0
36,44200,,11500,14.13,0.2602,7,0.3889,0.0368,RENT,PERSONAL,N,0
40,40700,1.0,20600,20.0,0.5061,3,0.1364,0.1012,MORTGAGE,DEBTCONSOLIDATION,N,0
38,75600,3.6,12900,7.6,0.1706,10,0.5,0.013,OWN,MEDICAL,N,0
36,42000,6.4,12500,12.18,0.2976,3,0.1667,0.0362,RENT,MEDICAL,Y,0
35,37800,6.4,34700,15.93,0.918,6,0.3529,0.1462,RENT,EDUCATION,N,1
43,62400,0.8,17300,11.62,0.2772,4,0.16,0.0322,OWN,PERSONAL,N,0
40,22700,1.2,4900,10.13,0.2159,5,0.2273,0.0219,MORTGAGE,PERSONAL,N,0
39,69800,,29200,15.57,0.4183,9,0.4286,0.0651,MORTGAGE,PERSONAL,N,0
45,74100,2.9,6800,8.52,0.0918,6,0.2222,0.0078,RENT,MEDICAL,Y,0
51,52500,0.9,9900,9.9,0.1886,3,0.0909,0.0187,MORTGAGE,MEDICAL,N,0
49,74700,2.6,9100,9.84,0.1218,4,0.129,0.012,MORTGAGE,MEDICAL,N,0
52,60900,1.3,18800,11.82,0.3087,5,0.1471,0.0365,MORTGAGE,MEDICAL,N,0
62,62800,,3800,7.03,0.0605,5,0.1136,0.0043,MORTGAGE,VENTURE,N,0
38,52200,2.0,28600,13.68,0.5479,6,0.3,0.075,MORTGAGE,MEDICAL,N,1
30,96100,7.3,15300,7.89,0.1592,12,1.0,0.0126,RENT,PERSONAL,N,0
45,135800,2.5,8200,9.66,0.0604,5,0.1852,0.0058,RENT,MEDICAL,N,0
52,51000,7.1,22300,16.43,0.4373,3,0.0882,0.0718,RENT,MEDICAL,N,0
60,88300,2.8,12500,9.88,0.1416,6,0.1429,0.014,OTHER,MEDICAL,N,0
33,32400,15.0,22400,19.21,0.6914,12,0.8,0.1328,MORTGAGE,PERSONAL,N,1
41,62000,0.4,22100,12.91,0.3565,4,0.1739,0.046,MORTGAGE,HOMEIMPROVEMENT,N,0
53,14100,1.2,23300,,1.6525,5,0.1429,0.2092,RENT,MEDICAL,N,1
46,35500,3.9,3100,,0.0873,2,0.0714,0.0111,MORTGAGE,EDUCATION,N,0
36,91100,2.6,20700,9.56,0.2272,8,0.4444,0.0217,RENT,EDUCATION,N,0
47,54600,0.6,27700,15.11,0.5073,5,0.1724,0.0767,RENT,EDUCATION,N,0
49,22300,,11200,17.03,0.5022,5,0.1613,0.0855,RENT,VENTURE,Y,1
37,19100,6.8,10600,17.91,0.555,6,0.3158,0.0994,MORTGAGE,HOMEIMPROVEMENT,N,1
50,56700,4.2,8000,10.45,0.1411,2,0.0625,0.0147,RENT,PERSONAL,N,0
36,60500,10.7,12500,11.26,0.2066,4,0.2222,0.0233,MORTGAGE,PERSONAL,N,0
69,57400,6.0,13000,12.95,0.2265,7,0.1373,0.0293,RENT,EDUCATION,N,0
37,47500,1.6,15800,11.02,0.3326,16,0.8421,0.0367,RENT,DEBTCONSOLIDATION,N,0
42,71100,3.9,24300,14.09,0.3418,6,0.25,0.0482,RENT,VENTURE,N,0
37,32600,7.8,4800,8.18,0.1472,5,0.2632,0.012,RENT,HOMEIMPROVEMENT,N,0
60,47800,10.0,25000,17.07,0.523,12,0.2857,0.0893,MORTGAGE,PERSONAL,Y,1
49,171800,5.0,11200,10.5,0.0652,9,0.2903,0.0068,MORTGAGE,DEBTCONSOLIDATION,Y,0
