person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
48,27100,RENT,2.0,VENTURE,4800,11.81,1,0.18,Y,11
42,102700,RENT,3.3,MEDICAL,13200,11.38,0,0.13,N,8
41,54400,MORTGAGE,3.4,VENTURE,5000,11.49,0,0.09,N,7
41,74400,MORTGAGE,4.5,PERSONAL,9300,10.79,0,0.12,N,2
60,73300,MORTGAGE,3.2,VENTURE,28600,15.92,1,0.39,N,3
51,45500,OWN,5.2,DEBTCONSOLIDATION,6300,9.52,0,0.14,N,12
40,14200,RENT,10.8,EDUCATION,4700,11.82,0,0.33,N,7
49,113300,RENT,2.5,VENTURE,5900,6.21,0,0.05,N,6
46,68700,MORTGAGE,10.5,VENTURE,18500,15.24,0,0.27,N,2
30,27200,RENT,1.2,EDUCATION,2800,9.4,0,0.1,N,9
36,66400,MORTGAGE,0.6,EDUCATION,11800,12.73,0,0.18,N,7
46,60500,MORTGAGE,1.4,VENTURE,28600,14.66,1,0.47,Y,5
59,111400,MORTGAGE,1.2,EDUCATION,5300,8.43,0,0.05,N,6
42,70200,MORTGAGE,21.0,PERSONAL,27300,13.38,0,0.39,N,11
39,70400,RENT,2.4,HOMEIMPROVEMENT,6700,7.73,0,0.1,N,10
44,60500,MORTGAGE,5.3,EDUCATION,6900,7.94,0,0.11,N,10
39,35500,MORTGAGE,6.0,DEBTCONSOLIDATION,16300,22.32,1,0.46,N,2
41,78400,MORTGAGE,2.9,VENTURE,9100,12.19,0,0.12,N,2
43,53400,RENT,1.3,VENTURE,1900,,0,0.04,N,3
35,32100,RENT,2.9,PERSONAL,20100,16.81,1,0.63,Y,7
51,37700,RENT,3.2,DEBTCONSOLIDATION,11400,13.41,0,0.3,Y,2
34,29000,MORTGAGE,15.4,HOMEIMPROVEMENT,26000,22.18,1,0.9,Y,4
33,97000,MORTGAGE,4.2,PERSONAL,9700,8.05,0,0.1,N,14
45,160900,MORTGAGE,17.5,PERSONAL,17900,7.35,0,0.11,N,6
51,102300,RENT,4.3,VENTURE,10600,8.23,0,0.1,N,9
45,66600,MORTGAGE,0.8,VENTURE,7400,12.34,0,0.11,N,3
42,52300,RENT,2.4,EDUCATION,30300,16.19,1,0.58,Y,3
41,46200,OWN,7.9,EDUCATION,15900,15.95,0,0.34,N,11
40,31500,MORTGAGE,2.7,MEDICAL,23100,19.47,1,0.73,N,5
54,158100,RENT,0.5,PERSONAL,9300,10.14,0,0.06,N,4
46,30700,MORTGAGE,0.5,EDUCATION,11800,16.82,1,0.38,N,7
40,34000,MORTGAGE,1.4,VENTURE,13500,14.58,1,0.4,Y,2
38,48700,MORTGAGE,4.2,EDUCATION,16900,15.18,0,0.35,N,3
49,50900,MORTGAGE,8.9,PERSONAL,11900,11.58,0,0.23,N,12
54,75400,OTHER,3.8,PERSONAL,9200,10.21,0,0.12,Y,6
53,37400,RENT,6.9,VENTURE,8200,,0,0.22,N,10
37,18100,RENT,5.2,VENTURE,16200,20.12,1,0.9,Y,2
41,47700,MORTGAGE,3.7,HOMEIMPROVEMENT,9200,,0,0.19,N,7
39,49500,MORTGAGE,1.2,DEBTCONSOLIDATION,11900,16.56,0,0.24,N,2
42,47300,RENT,10.7,DEBTCONSOLIDATION,4100,9.56,0,0.09,N,11
51,47000,RENT,1.6,MEDICAL,9400,9.5,0,0.2,N,12
57,44700,MORTGAGE,1.5,EDUCATION,13600,12.62,1,0.3,N,8
47,26100,MORTGAGE,1.5,MEDICAL,21600,17.5,1,0.83,N,3
38,121100,RENT,0.5,PERSONAL,11500,8.3,0,0.09,N,7
43,117400,MORTGAGE,3.5,VENTURE,10000,9.33,0,0.09,N,5
60,116700,RENT,2.0,PERSONAL,14300,9.31,0,0.12,N,7
44,28200,RENT,3.7,EDUCATION,4700,8.82,0,0.17,N,3
41,67600,RENT,3.0,EDUCATION,11100,10.84,0,0.16,N,6
42,42900,MORTGAGE,3.7,PERSONAL,7100,9.75,0,0.17,N,2
47,41700,MORTGAGE,1.8,MEDICAL,9300,10.92,0,0.22,N,2
37,32500,RENT,8.4,MEDICAL,11800,15.13,0,0.36,N,5
39,222100,RENT,,MEDICAL,5000,8.94,0,0.02,N,6
52,47200,MORTGAGE,1.2,DEBTCONSOLIDATION,21600,19.35,1,0.46,Y,3
47,32600,MORTGAGE,11.6,PERSONAL,9700,15.15,1,0.3,N,6
44,58500,OTHER,0.6,EDUCATION,9000,9.52,0,0.15,N,6
53,82400,MORTGAGE,6.6,MEDICAL,10900,10.12,0,0.13,N,15
38,50100,RENT,5.7,PERSONAL,11400,12.26,0,0.23,N,13
41,62000,MORTGAGE,0.4,HOMEIMPROVEMENT,22100,12.91,0,0.36,N,4
46,94000,RENT,11.6,DEBTCONSOLIDATION,9900,9.27,0,0.11,N,7
46,32000,OWN,1.9,MEDICAL,13200,16.26,0,0.41,Y,11
33,59700,RENT,6.8,EDUCATION,13900,13.72,0,0.23,N,3
40,38100,RENT,1.6,VENTURE,10200,11.9,0,0.27,N,7
42,35400,RENT,3.7,MEDICAL,21200,18.74,1,0.6,Y,10
47,142000,RENT,17.9,EDUCATION,16800,8.51,0,0.12,N,9
46,51600,RENT,4.7,PERSONAL,19300,13.14,0,0.37,Y,2
43,30200,RENT,1.8,EDUCATION,4900,9.7,0,0.16,N,15
30,51000,RENT,3.1,MEDICAL,22400,16.77,1,0.44,N,4
43,27900,RENT,5.6,DEBTCONSOLIDATION,9100,15.74,1,0.33,N,8
44,48100,MORTGAGE,,PERSONAL,6000,,1,0.12,N,3
70,37300,RENT,12.1,VENTURE,17700,17.12,0,0.47,N,5
42,71800,OWN,10.1,HOMEIMPROVEMENT,8700,,0,0.12,N,10
46,157200,RENT,0.8,EDUCATION,12100,11.2,0,0.08,N,11
55,49200,RENT,7.7,PERSONAL,18900,15.97,0,0.38,N,4
51,38100,MORTGAGE,14.3,EDUCATION,6300,6.6,0,0.17,N,3
58,57000,RENT,1.9,EDUCATION,6900,9.17,1,0.12,Y,9
33,123000,RENT,1.4,VENTURE,17800,10.82,1,0.14,N,6
36,72000,OWN,0.0,EDUCATION,12900,11.81,0,0.18,Y,3
39,50100,MORTGAGE,0.6,VENTURE,8800,13.32,1,0.18,Y,10
32,17400,RENT,14.0,EDUCATION,14300,20.1,1,0.82,Y,4
44,52600,MORTGAGE,2.5,VENTURE,16600,14.14,0,0.32,Y,4
36,83000,RENT,2.4,MEDICAL,12100,7.9,0,0.15,N,8
60,91700,MORTGAGE,1.6,EDUCATION,7900,12.94,0,0.09,N,5
37,111400,RENT,0.9,PERSONAL,17300,13.22,0,0.16,N,14
41,37400,RENT,3.6,MEDICAL,6700,12.75,0,0.18,N,6
51,43400,RENT,,VENTURE,17500,18.44,1,0.4,Y,3
34,50700,OWN,4.0,MEDICAL,9600,9.12,0,0.19,N,7
32,80000,RENT,0.2,EDUCATION,1600,9.7,0,0.02,N,2
45,46900,MORTGAGE,8.1,VENTURE,13300,15.0,0,0.28,N,3
46,72300,RENT,13.4,PERSONAL,10300,6.65,0,0.14,N,14
51,43900,RENT,2.9,DEBTCONSOLIDATION,8900,13.52,0,0.2,Y,4
48,36700,RENT,2.3,PERSONAL,13900,12.94,1,0.38,N,2
46,99700,RENT,1.3,EDUCATION,10800,10.4,0,0.11,N,19
38,64300,MORTGAGE,1.8,EDUCATION,10000,11.84,0,0.16,N,3
46,81700,OWN,5.2,EDUCATION,20500,12.01,0,0.25,N,6
46,48400,RENT,7.4,EDUCATION,5800,11.49,0,0.12,N,2
38,84300,RENT,2.0,VENTURE,11900,12.87,0,0.14,N,12
64,30200,MORTGAGE,2.1,EDUCATION,9200,11.15,0,0.3,N,4
48,33000,OWN,3.0,PERSONAL,9900,9.79,0,0.3,N,5
36,91000,RENT,0.9,EDUCATION,12800,7.67,0,0.14,N,11
51,52100,RENT,13.1,DEBTCONSOLIDATION,26700,21.62,1,0.51,N,7
53,47300,RENT,6.1,PERSONAL,17600,12.12,0,0.37,N,3
47,32700,RENT,2.8,HOMEIMPROVEMENT,8200,11.49,0,0.25,N,6
41,84300,RENT,0.7,HOMEIMPROVEMENT,15600,11.09,0,0.19,N,4
37,151100,OTHER,9.4,PERSONAL,7500,,0,0.05,N,7
43,75700,RENT,3.3,EDUCATION,24900,12.99,0,0.33,N,6
47,42300,RENT,8.0,EDUCATION,12400,8.96,0,0.29,N,7
44,116200,MORTGAGE,0.2,MEDICAL,28300,13.92,0,0.24,N,2
59,66000,RENT,1.6,MEDICAL,17700,13.51,0,0.27,N,6
49,42700,RENT,4.9,VENTURE,22900,20.91,1,0.54,Y,7
37,109300,OWN,3.3,PERSONAL,8000,8.1,0,0.07,N,8
35,49100,RENT,1.7,EDUCATION,23700,15.53,1,0.48,N,7
48,24500,OWN,1.1,VENTURE,8200,14.92,0,0.33,N,3
42,45500,RENT,1.8,EDUCATION,30400,18.4,1,0.67,Y,2
50,72600,RENT,6.8,DEBTCONSOLIDATION,9800,10.11,0,0.13,N,10
48,36500,OWN,1.0,EDUCATION,18300,,0,0.5,N,10
43,19300,RENT,4.5,MEDICAL,15000,22.56,1,0.78,Y,5
37,121600,MORTGAGE,2.8,MEDICAL,13500,7.95,0,0.11,N,9
32,250000,RENT,7.2,VENTURE,12500,9.16,0,0.05,N,6
45,41700,RENT,1.1,EDUCATION,11700,11.79,0,0.28,N,2
34,38300,MORTGAGE,1.6,HOMEIMPROVEMENT,10200,12.09,0,0.27,N,7
36,25800,MORTGAGE,2.5,MEDICAL,16100,17.24,1,0.62,N,2
45,34500,OWN,0.9,MEDICAL,31300,18.55,1,0.91,Y,4
44,23400,RENT,3.1,MEDICAL,18000,22.61,1,0.77,N,7
35,26400,MORTGAGE,2.7,PERSONAL,20300,20.52,1,0.77,Y,4
54,54200,RENT,23.1,EDUCATION,17500,11.02,0,0.32,N,4
54,22700,MORTGAGE,4.5,EDUCATION,14300,17.94,1,0.63,Y,3
48,24200,RENT,0.4,VENTURE,22300,17.99,1,0.92,N,11
48,60700,RENT,3.1,HOMEIMPROVEMENT,10500,7.85,0,0.17,N,5
48,38600,RENT,10.5,EDUCATION,9700,13.72,0,0.25,N,4
70,65900,RENT,10.1,EDUCATION,11700,10.4,0,0.18,N,4
53,44900,MORTGAGE,16.3,PERSONAL,15700,16.18,0,0.35,N,9
50,48900,RENT,11.2,PERSONAL,1200,,0,0.02,N,10
37,83200,MORTGAGE,1.0,DEBTCONSOLIDATION,22900,16.04,0,0.28,N,8
41,40100,RENT,0.0,VENTURE,10200,13.04,0,0.25,N,9
70,80000,RENT,4.8,MEDICAL,16200,11.02,0,0.2,N,4
30,43000,RENT,,VENTURE,4800,12.29,0,0.11,N,10
40,34500,MORTGAGE,0.7,MEDICAL,12600,,1,0.37,Y,2
54,30000,OTHER,0.9,HOMEIMPROVEMENT,5300,11.18,0,0.18,N,11
38,21800,RENT,16.5,MEDICAL,2800,11.04,0,0.13,Y,10
50,27400,RENT,14.4,EDUCATION,21300,14.83,1,0.78,Y,4
44,20400,RENT,0.9,MEDICAL,12100,19.23,0,0.59,Y,2
38,31400,MORTGAGE,1.4,HOMEIMPROVEMENT,22200,18.24,1,0.71,Y,3
29,85100,MORTGAGE,11.0,MEDICAL,10800,,0,0.13,N,7
45,53900,RENT,2.9,MEDICAL,17400,12.2,0,0.32,N,2
37,43800,RENT,8.0,MEDICAL,6100,8.63,1,0.14,N,7
42,37000,MORTGAGE,2.5,EDUCATION,8200,14.29,0,0.22,N,5
48,51800,RENT,6.7,PERSONAL,13400,10.63,0,0.26,N,6
52,55100,MORTGAGE,2.5,PERSONAL,12800,12.59,0,0.23,N,10
40,29300,RENT,11.5,MEDICAL,8300,13.56,0,0.28,N,9
38,69900,MORTGAGE,,DEBTCONSOLIDATION,24300,14.56,0,0.35,N,4
34,45300,RENT,3.7,PERSONAL,9800,,0,0.22,N,10
52,63800,MORTGAGE,3.7,VENTURE,12500,12.04,0,0.2,N,10
67,53200,MORTGAGE,5.2,PERSONAL,10800,9.56,0,0.2,N,7
54,24800,RENT,1.8,PERSONAL,33000,17.79,1,1.33,N,6
56,110800,RENT,5.1,VENTURE,11000,12.14,0,0.1,N,11
38,53800,RENT,0.8,MEDICAL,9500,13.88,0,0.18,N,4
48,44300,OTHER,11.2,EDUCATION,25900,17.96,0,0.58,N,7
51,74600,OWN,0.8,MEDICAL,7500,6.87,0,0.1,N,18
24,28700,MORTGAGE,6.0,VENTURE,26500,22.36,1,0.92,Y,6
35,22800,RENT,5.9,HOMEIMPROVEMENT,15500,20.12,1,0.68,Y,5
61,73600,RENT,2.1,EDUCATION,8800,11.58,0,0.12,N,7
33,101800,MORTGAGE,2.0,PERSONAL,9300,8.4,0,0.09,N,2
58,63400,OWN,16.9,MEDICAL,19000,14.75,0,0.3,N,2
33,84400,RENT,,HOMEIMPROVEMENT,4300,7.87,0,0.05,N,4
36,27000,MORTGAGE,6.4,VENTURE,19100,18.62,0,0.71,N,7
48,44500,MORTGAGE,1.0,MEDICAL,10300,9.54,0,0.23,N,3
44,37700,RENT,11.8,MEDICAL,22000,17.91,1,0.58,Y,4
40,95300,RENT,6.8,EDUCATION,6800,12.23,0,0.07,N,12
60,71100,MORTGAGE,13.5,PERSONAL,9200,11.17,0,0.13,N,8
